run_id,job_name,step_name,step_duration,step_status
27308620254,test,Setup Python,1.0,success
27308620254,test,Install dependencies,3.0,success
27308620254,test,Run tests,30.0,success
27308620254,test,Upload test report,1.0,success
27308620254,test,Post Setup Python,0.0,success
27308620254,test,Post Checkout,0.0,success
27308620254,test,Complete job,0.0,success
27308812787,lint,Set up job,1.0,success
27308812787,lint,Checkout,0.0,success
27308812787,lint,Setup Python,2.0,success
27308812787,lint,Install dependencies,3.0,success
27308812787,lint,Run lint,0.0,success
27308812787,lint,Post Setup Python,1.0,success
27308812787,lint,Post Checkout,0.0,success
27308812787,lint,Complete job,0.0,success
27308812787,test,Set up job,1.0,success
27308812787,test,Checkout,0.0,success
27308812787,test,Setup Python,1.0,success
27308812787,test,Install dependencies,3.0,success
27308812787,test,Run tests,30.0,success
27308812787,test,Upload test report,1.0,success
27308812787,test,Post Setup Python,0.0,success
27308812787,test,Post Checkout,0.0,success
27308812787,test,Complete job,0.0,success
27309062606,test,Set up job,1.0,success
27309062606,test,Checkout,1.0,success
27309062606,test,Setup Python,3.0,success
27309062606,test,Install dependencies,2.0,success
27309062606,test,Run tests,31.0,success
27309062606,test,Upload test report,1.0,success
27309062606,test,Post Setup Python,1.0,success
27309062606,test,Post Checkout,0.0,success
27309062606,test,Complete job,0.0,success
27309062606,lint,Set up job,1.0,success
27309062606,lint,Checkout,1.0,success
27309062606,lint,Setup Python,2.0,success
27309062606,lint,Install dependencies,3.0,success
27309062606,lint,Run lint,0.0,success
27309062606,lint,Post Setup Python,0.0,success
27309062606,lint,Post Checkout,0.0,success
27309062606,lint,Complete job,0.0,success
27309113580,test,Set up job,1.0,success
27309113580,test,Checkout,0.0,success
27309113580,test,Setup Python,1.0,success
27309113580,test,Install dependencies,3.0,success
27309113580,test,Run tests,0.0,success
27309113580,test,Upload test report,1.0,success
27309113580,test,Post Setup Python,0.0,success
27309113580,test,Post Checkout,0.0,success
27309113580,test,Complete job,0.0,success
27309113580,lint,Set up job,0.0,success
27309113580,lint,Checkout,1.0,success
27309113580,lint,Setup Python,1.0,success
27309113580,lint,Install dependencies,3.0,success
27309113580,lint,Run lint,0.0,success
27309113580,lint,Post Setup Python,0.0,success
27309113580,lint,Post Checkout,0.0,success
27309113580,lint,Complete job,0.0,success
